,precision,recall,f1-score,support
anger,0.6955,0.7143,0.7048,259
fear,0.8219,0.9231,0.8696,65
happy,0.7549,0.7452,0.75,310
neutral,0.6312,0.6762,0.6529,281
sad,0.6784,0.6838,0.6811,253
surprise,0.8155,0.7368,0.7742,342
accuracy,0.7225,0.7225,0.7225,0
macro avg,0.7329,0.7466,0.7388,1510
weighted avg,0.7255,0.7225,0.7233,1510
